Unnamed: 0,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees.br...,city,season
20051,2003-01-01,52,48.0,43.0,50.0,46.0,43.0,100.0,90.0,80.0,30.35,30.28,30.23,10.0,9.0,5.0,9.0,2.0,,0.00,3.0,,86<br />,San Francisco (CA),Winter
20052,2003-01-02,54,50.0,46.0,49.0,47.0,45.0,100.0,88.0,77.0,30.27,30.23,30.17,10.0,9.0,7.0,8.0,3.0,,0.00,5.0,,79<br />,San Francisco (CA),Winter
20053,2003-01-03,55,50.0,46.0,48.0,46.0,44.0,97.0,84.0,67.0,30.23,30.19,30.15,10.0,10.0,7.0,8.0,3.0,,0.00,4.0,,56<br />,San Francisco (CA),Winter
20054,2003-01-04,57,52.0,48.0,54.0,50.0,46.0,100.0,91.0,78.0,30.32,30.26,30.17,10.0,9.0,8.0,9.0,3.0,,0.00,4.0,Fog,295<br />,San Francisco (CA),Winter
20055,2003-01-05,55,52.0,48.0,54.0,51.0,47.0,100.0,97.0,80.0,30.31,30.25,30.09,10.0,4.0,0.0,8.0,3.0,,0.01,4.0,Fog,22<br />,San Francisco (CA),Winter
20056,2003-01-06,66,58.0,51.0,47.0,41.0,36.0,83.0,55.0,33.0,30.16,30.11,30.07,10.0,10.0,10.0,15.0,8.0,,0.00,0.0,,106<br />,San Francisco (CA),Winter
20057,2003-01-07,64,54.0,44.0,49.0,44.0,35.0,97.0,74.0,42.0,30.2,30.12,30.04,10.0,9.0,7.0,12.0,4.0,,0.00,0.0,,119<br />,San Francisco (CA),Winter
20058,2003-01-08,55,50.0,44.0,50.0,47.0,41.0,96.0,87.0,75.0,30.07,30.02,29.99,10.0,8.0,5.0,8.0,4.0,,0.00,3.0,,38<br />,San Francisco (CA),Winter
20059,2003-01-09,54,52.0,50.0,54.0,51.0,48.0,100.0,96.0,89.0,30.06,30.01,29.97,10.0,4.0,2.0,12.0,6.0,,0.89,7.0,Rain,34<br />,San Francisco (CA),Winter
20060,2003-01-10,61,57.0,53.0,55.0,54.0,53.0,100.0,91.0,75.0,30.13,30.04,29.98,10.0,9.0,5.0,16.0,9.0,21.0,0.20,7.0,Rain,138<br />,San Francisco (CA),Winter
